0.49,0.245,0.38,0.14,0.86,0,0,0,1
0.25,0.1,0.03,0.09,0.15,1,0,0,0
0.55,0.1,0.27,0.25,0.29,0,1,0,0
0.299,0.295,0.8,0.37,0.84,0,0,0,1
0.52,0.85,0.06,0.27,0.25,0,1,0,0
0.36,0.29,0.37,0.48,0.13,1,0,0,0
0.38,0.01,0.53,0.27,0.3,0,1,0,0
0.77,0.267,0.59,0.78,0.28,0,0,1,0
0.58,0.299,0.73,0.63,0.21,0,1,0,0
0.465,0.258,0.73,0.18,0.59,0,0,1,0
0.43,0.38,0.62,0.33,0.49,0,0,1,0
0.38,0.36,0.46,0.49,0.78,0,0,0,1
0.08,0.08,0.08,0.98,0.24,0,1,0,0
0.345,0.299,0.1,0.64,0.13,0,1,0,0
0.295,0.29,0.31,0.76,0.1,0,1,0,0
0.76,0.258,0.07,0.83,0.34,0,0,1,0
0.39,0.26,0.39,0.77,0.14,0,1,0,0
0.46,0.44,0.89,0.12,0.66,0,0,1,0
0.6,0.31,0.31,0.87,0.58,0,0,0,1
0.305,0.255,0.63,0.4,0.54,0,0,1,0
0.18,0.18,0.55,0.3,0.81,0,0,0,1
0.44,0.69,0.61,0.29,0.57,0,0,1,0
0.523,0.41,0.55,0.6,0.22,0,1,0,0
0.48,0.12,0.28,0.7,0.71,0,0,0,1
0.28,0.1,0.12,0.28,0.32,0,1,0,0
