0.29,0.29,0.4,0.78,0.18,0,1,0,0
0.27,0.31,0.32,0.41,0.28,0,1,0,0
0.258,0.31,0.88,0.4,0.3,0,1,0,0
0.276,0.255,0.81,0.27,0.33,0,1,0,0
0.7,0.18,0.88,0.09,0.66,0,0,1,0
0.44,0.55,0.11,0.26,0.83,0,0,0,1
0.46,0.44,0.89,0.12,0.66,0,0,1,0
0.66,0.9,0.76,0.87,0.74,0,0,0,1
0.495,0.82,0.67,0.01,0.93,0,0,0,1
0.1,0.1,0.43,0.29,0.56,0,0,1,0
0.295,0.29,0.31,0.76,0.1,0,1,0,0
0.1,0.27,0.31,0.29,0.65,0,0,1,0
0.39,0.15,0.81,0.22,0.29,0,1,0,0
0.58,0.299,0.73,0.63,0.21,0,1,0,0
0.14,0.49,0.55,0.29,0.6,0,0,1,0
0.2,0.45,0.28,0.31,0.78,0,0,0,1
0.41,0.49,0.34,0.21,0.92,0,0,0,1
0.28,0.16,0.69,0.33,0.78,0,0,0,1
0.06,0.06,0.51,0.41,0.3,0,1,0,0
0.49,0.245,0.38,0.14,0.86,0,0,0,1
0.68,0.63,0.65,0.09,0.66,0,0,1,0
0.29,0.25,0.29,0.29,0.57,0,0,1,0
0.55,0.1,0.27,0.25,0.29,0,1,0,0
0.17,0.36,0.8,0.14,0.66,0,0,1,0
0.15,0.295,0.75,0.65,0.24,0,1,0,0
