0.38,0.36,0.46,0.49,0.78,0,0,0,1
0.13,0.39,0.85,0.38,0.77,0,0,0,1
0.495,0.82,0.67,0.01,0.93,0,0,0,1
0.09,0.255,0.6,0.45,0.25,0,1,0,0
0,0,0,0,0,1,0,0,0
0.325,0.25,0.38,0.31,0.79,0,0,0,1
0.08,0.08,0.1,0.24,0.9,0,0,0,1
0.1,0.1,0.15,0.65,0.3,0,0,1,0
0.288,0.31,0.79,0.23,0.24,0,1,0,0
0.295,0.25,0.73,0.77,0.19,0,1,0,0
0.18,0.4,0.32,0.08,0.33,0,1,0,0
0.299,0.32,0.31,0.33,0.87,0,0,0,1
0.61,0.78,0.69,0.92,0.58,0,0,0,1
0.28,0.78,0.44,0.17,0.66,0,0,1,0
0.345,0.299,0.1,0.64,0.13,0,1,0,0
0.1,0.1,0.43,0.29,0.56,0,0,1,0
0.365,0.243,0.19,0.24,0.35,0,1,0,0
0.26,0.28,0.6,0.29,0.59,0,0,1,0
0.32,0.28,0.72,0.89,0.58,0,0,0,1
0.334,0.295,0.33,0.32,0.3,0,1,0,0
0.6,0.251,0.39,0.29,0.3,0,1,0,0
0.58,0.295,0.62,0.28,0.3,0,1,0,0
0.35,0.38,0.32,0.6,0.16,0,1,0,0
0.315,0.32,0.29,0.29,0.62,0,0,1,0
0.39,0.26,0.39,0.77,0.14,0,1,0,0
0.72,0.6,0.45,0.79,0.45,0,0,1,0
