0.09,0.255,0.6,0.45,0.25,0,1,0,0
0.09,0.6,0.66,0.19,0.59,0,0,1,0
0.27,0.31,0.32,0.41,0.28,0,1,0,0
0.44,0.32,0.55,0.33,0.52,0,0,1,0
0.4,0.33,0.12,0.3,0.9,0,0,0,1
0.15,0.79,0.78,0.3,0.51,0,0,1,0
0.295,0.59,0.29,0.31,0.55,0,0,1,0
0.24,0.58,0.76,0.8,0.28,0,0,1,0
0.88,0.335,0.19,0.55,0.78,0,0,0,1
0.18,0.72,0.37,0.29,0.55,0,0,1,0
0.32,0.255,0.55,0.78,0.34,0,0,1,0
0.5,0.4,0.73,0.62,0.2,0,1,0,0
0.255,0.18,0.5,0.4,0.1,1,0,0,0
0.329,0.55,0.02,0.4,0.79,0,0,0,1
0.56,0.6,0.6,0.31,0.5,0,0,1,0
0.77,0.29,0.74,0.82,0.68,0,0,0,1
0.68,0.63,0.65,0.09,0.66,0,0,1,0
0.06,0.06,0.51,0.41,0.3,0,1,0,0
0.258,0.31,0.88,0.4,0.3,0,1,0,0
0.12,0.245,0.75,0.31,0.59,0,0,1,0
0.46,0.78,0.38,0.24,0.89,0,0,0,1
0.29,0.3,0.56,0.25,0.67,0,0,1,0
0.12,0.28,0.2,0.78,0.2,0,1,0,0
0.3,0.85,0.54,0.25,0.83,0,0,1,0
0.08,0.08,0.08,0.98,0.24,0,1,0,0
0.77,0.267,0.59,0.78,0.28,0,0,1,0
