0.365	0.68	0.1	0.63	0.18	0	1	0	0
0.45	0.65	0.19	0.99	0.55	0	0	0	1
0.46	0.78	0.38	0.24	0.89	0	0	0	1
0.37	0.55	0.41	0.29	0.3	0	1	0	0
0.38	0.59	0.31	0.62	0.2	0	1	0	0
0.49	0.64	0.34	0.78	0.21	0	1	0	0
0.495	0.82	0.67	0.01	0.93	0	0	0	1
0.44	0.69	0.61	0.29	0.57	0	0	1	0
0.365	0.57	0.59	0.55	0.25	0	1	0	0
0.49	0.9	0.52	0.9	0.47	0	0	0	1
0.445	0.7	0.82	0.16	0.64	0	0	1	0
0.42	0.7	0.72	0.3	0.8	0	0	0	1
0.37	0.6	0.77	0.4	0.5	0	0	1	0
0.4	0.61	0.71	0.88	0.67	0	0	0	1
0.6	0.14	0.22	0.11	0.66	0	0	1	0
0.55	0.1	0.27	0.25	0.29	0	1	0	0
0.68	0.19	0.19	0.48	0.1	1	0	0	0
0.73	0.2	0.07	0.72	0.26	0	1	0	0
0.78	0.15	0.38	0.18	0.63	0	0	1	0
0.55	0.1	0.34	0.3	0.1	1	0	0	0
0.59	0.18	0.31	0.55	0.09	1	0	0	0
0.64	0.09	0.33	0.65	0.5	0	0	1	0
0.6	0.19	0.55	0.08	0.1	1	0	0	0
0.69	0.02	0.62	0.3	0.29	0	1	0	0
0.78	0.21	0.68	0.65	0.75	0	0	0	1
0.62	0.14	0.52	0.81	0.15	0	1	0	0
