0.245	0.26	0.38	0.49	0.27	0	1	0	0
0.295	0.29	0.31	0.76	0.1	0	1	0	0
0.29	0.3	0.56	0.25	0.67	0	0	1	0
0.26	0.28	0.6	0.29	0.59	0	0	1	0
0.305	0.255	0.63	0.4	0.54	0	0	1	0
0.32	0.27	0.52	0.81	0.3	0	0	1	0
0.299	0.295	0.8	0.37	0.84	0	0	0	1
0.276	0.255	0.81	0.27	0.33	0	1	0	0
0.258	0.31	0.88	0.4	0.3	0	1	0	0
0.32	0.28	0.72	0.89	0.58	0	0	0	1
0.329	0.55	0.02	0.4	0.79	0	0	0	1
0.295	0.59	0.29	0.31	0.55	0	0	1	0
0.285	0.64	0.18	0.61	0.45	0	0	1	0
0.265	0.6	0.28	0.66	0.07	1	0	0	0
0.315	0.69	0.28	0.8	0.7	0	0	0	1
0.28	0.78	0.44	0.17	0.66	0	0	1	0
0.325	0.61	0.46	0.32	0.81	0	0	0	1
0.28	0.65	0.4	0.65	0.13	0	1	0	0
0.255	0.75	0.35	0.72	0.25	0	1	0	0
0.305	0.55	0.5	0.11	0.333	0	1	0	0
0.3	0.85	0.54	0.25	0.83	0	0	1	0
0.325	0.9	0.52	0.49	0.76	0	0	0	1
0.312	0.8	0.67	0.92	0.5	0	0	0	1
0.299	0.7	0.95	0.22	0.66	0	0	0	1
0.265	0.76	0.8	0.28	0.28	0	1	0	0
0.255	0.72	0.72	0.63	0.14	0	1	0	0
