0.25	0.37	0.48	0.5	0.43	0.26	0.36	1	0	0	0	0	0	0	0
0.35	0.48	0.48	0.5	0.56	0.4	0.48	1	0	0	0	0	0	0	0
0.26	0.26	0.48	0.5	0.34	0.25	0.35	1	0	0	0	0	0	0	0
0.44	0.51	0.48	0.5	0.47	0.26	0.36	1	0	0	0	0	0	0	0
0.37	0.5	0.48	0.5	0.42	0.36	0.45	1	0	0	0	0	0	0	0
0.44	0.42	0.48	0.5	0.42	0.25	0.2	1	0	0	0	0	0	0	0
0.24	0.43	0.48	0.5	0.37	0.28	0.38	1	0	0	0	0	0	0	0
0.42	0.3	0.48	0.5	0.48	0.26	0.36	1	0	0	0	0	0	0	0
0.48	0.42	0.48	0.5	0.45	0.25	0.35	1	0	0	0	0	0	0	0
0.41	0.48	0.48	0.5	0.51	0.44	0.51	1	0	0	0	0	0	0	0
0.44	0.28	0.48	0.5	0.43	0.27	0.37	1	0	0	0	0	0	0	0
0.29	0.41	0.48	0.5	0.48	0.38	0.46	1	0	0	0	0	0	0	0
0.34	0.28	0.48	0.5	0.41	0.35	0.44	1	0	0	0	0	0	0	0
0.41	0.43	0.48	0.5	0.45	0.31	0.41	1	0	0	0	0	0	0	0
0.29	0.47	0.48	0.5	0.41	0.23	0.34	1	0	0	0	0	0	0	0
0.34	0.55	0.48	0.5	0.58	0.31	0.41	1	0	0	0	0	0	0	0
0.36	0.56	0.48	0.5	0.43	0.45	0.53	1	0	0	0	0	0	0	0
0.4	0.46	0.48	0.5	0.52	0.49	0.56	1	0	0	0	0	0	0	0
0.5	0.49	0.48	0.5	0.49	0.46	0.53	1	0	0	0	0	0	0	0
0.52	0.44	0.48	0.5	0.37	0.36	0.42	1	0	0	0	0	0	0	0
0.5	0.51	0.48	0.5	0.27	0.23	0.34	1	0	0	0	0	0	0	0
0.53	0.42	0.48	0.5	0.16	0.29	0.39	1	0	0	0	0	0	0	0
0.34	0.46	0.48	0.5	0.52	0.35	0.44	1	0	0	0	0	0	0	0
0.4	0.42	0.48	0.5	0.37	0.27	0.27	1	0	0	0	0	0	0	0
0.41	0.43	0.48	0.5	0.5	0.24	0.25	1	0	0	0	0	0	0	0
0.3	0.45	0.48	0.5	0.36	0.21	0.32	1	0	0	0	0	0	0	0
0.31	0.47	0.48	0.5	0.29	0.28	0.39	1	0	0	0	0	0	0	0
0.64	0.76	0.48	0.5	0.45	0.35	0.38	1	0	0	0	0	0	0	0
0.35	0.37	0.48	0.5	0.3	0.34	0.43	1	0	0	0	0	0	0	0
0.57	0.54	0.48	0.5	0.37	0.28	0.33	1	0	0	0	0	0	0	0
0.65	0.55	0.48	0.5	0.34	0.37	0.28	1	0	0	0	0	0	0	0
0.51	0.46	0.48	0.5	0.58	0.31	0.41	1	0	0	0	0	0	0	0
0.38	0.4	0.48	0.5	0.63	0.25	0.35	1	0	0	0	0	0	0	0
