0.33,0.45,0.48,0.5,0.45,0.88,0.89,0,1,0,0,0,0,0,0
0.42,0.38,0.48,0.5,0.54,0.34,0.43,1,0,0,0,0,0,0,0
0.51,0.46,0.48,0.5,0.58,0.31,0.41,1,0,0,0,0,0,0,0
0.16,0.51,0.48,0.5,0.33,0.39,0.48,0,1,0,0,0,0,0,0
0.61,0.52,0.48,0.5,0.54,0.67,0.52,0,1,0,0,0,0,0,0
0.59,0.29,0.48,0.5,0.64,0.75,0.77,0,0,0,1,0,0,0,0
0.36,0.42,0.48,0.5,0.53,0.32,0.41,1,0,0,0,0,0,0,0
0.42,0.3,0.48,0.5,0.48,0.26,0.36,1,0,0,0,0,0,0,0
0.23,0.48,0.48,0.5,0.59,0.88,0.89,0,1,0,0,0,0,0,0
0.36,0.39,0.48,0.5,0.48,0.22,0.23,1,0,0,0,0,0,0,0
0.66,0.49,1,0.5,0.54,0.56,0.36,0,0,0,0,0,1,0,0
0.69,0.59,0.48,0.5,0.46,0.44,0.52,0,0,1,0,0,0,0,0
0.65,0.51,0.48,0.5,0.66,0.54,0.33,0,0,0,0,1,0,0,0
0.7,0.64,0.48,0.5,0.47,0.51,0.47,0,0,1,0,0,0,0,0
0.72,0.46,0.48,0.5,0.51,0.66,0.7,0,1,0,0,0,0,0,0
0.34,0.33,0.48,0.5,0.38,0.35,0.44,1,0,0,0,0,0,0,0
0.37,0.52,0.48,0.5,0.42,0.42,0.36,1,0,0,0,0,0,0,0
0.63,0.42,0.48,0.5,0.48,0.77,0.8,0,0,0,1,0,0,0,0
0.12,0.67,0.48,0.5,0.74,0.58,0.63,0,1,0,0,0,0,0,0
0.17,0.52,0.48,0.5,0.49,0.37,0.46,1,0,0,0,0,0,0,0
0.31,0.44,0.48,0.5,0.5,0.79,0.82,0,1,0,0,0,0,0,0
0.67,0.7,0.48,0.5,0.46,0.45,0.33,0,0,1,0,0,0,0,0
0.74,0.49,0.48,0.5,0.42,0.54,0.36,0,0,1,0,0,0,0,0
0.43,0.59,0.48,0.5,0.52,0.49,0.56,0,0,1,0,0,0,0,0
0.42,0.35,0.48,0.5,0.58,0.15,0.27,1,0,0,0,0,0,0,0
0.32,0.33,0.48,0.5,0.6,0.06,0.2,1,0,0,0,0,0,0,0
0.1,0.49,0.48,0.5,0.41,0.67,0.21,0,1,0,0,0,0,0,0
0.64,0.81,0.48,0.5,0.37,0.39,0.44,0,0,1,0,0,0,0,0
0.32,0.42,0.48,0.5,0.35,0.28,0.38,1,0,0,0,0,0,0,0
0.49,0.43,0.48,0.5,0.49,0.3,0.4,1,0,0,0,0,0,0,0
0.63,0.65,0.48,0.5,0.39,0.44,0.35,0,0,1,0,0,0,0,0
0.81,0.52,0.48,0.5,0.57,0.78,0.8,0,0,0,1,0,0,0,0
0.41,0.51,0.48,0.5,0.58,0.2,0.31,1,0,0,0,0,0,0,0
